Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_146039_20181119_20181120_01_RT,LC81460392018323LGN00,2018/11/19,RT,1, 146, 039, 146, 039,NADIR,-.001,2018/11/20,2018:323:05:18:07.4750520,2018:323:05:18:39.2450500,LGN,DAY,8.15,8.15,347,4,6.655,5.049,4.336,9,LPGS_13.1.0,37.17918197,158.01080584,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15821,15561,7911,7781,7911,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20181119050724_20181119055226.01,LT8BPF20181109102328_20181109103704.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'21.67"N,78°17'12.59"E,31°21'10.66"N,77°32'43.98"E,30°58'25.72"N,79°28'44.98"E,29°37'31.15"N,77°06'32.04"E,29°14'44.92"N,79°00'30.67"E,30.30602,78.28683,31.35296,77.54555,30.97381,79.47916,29.62532,77.1089,29.24581,79.00852,LC08_L1TP_146039_20181119_20181120_01_RT,LC81460392018323LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018323LGN00
LC08_L1TP_146040_20181119_20181120_01_RT,LC81460402018323LGN00,2018/11/19,RT,1, 146, 040, 146, 040,NADIR,-.001,2018/11/20,2018:323:05:18:31.3660910,2018:323:05:19:03.1360890,LGN,DAY,24.71,24.71,126,4,8.675,6.805,5.381,9,LPGS_13.1.0,38.41746913,157.2810566,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15361,15061,7681,7531,7681,7531,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20181119050724_20181119055226.01,LT8BPF20181109102328_20181109103704.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.30"N,77°54'49.07"E,29°54'56.52"N,77°10'53.11"E,29°32'20.62"N,79°05'15.83"E,28°11'13.42"N,76°45'10.40"E,27°48'35.28"N,78°37'39.07"E,28.86925,77.91363,29.9157,77.18142,29.53906,79.08773,28.18706,76.75289,27.8098,78.62752,LC08_L1TP_146040_20181119_20181120_01_RT,LC81460402018323LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460402018323LGN00
LC08_L1TP_145039_20181112_20181112_01_RT,LC81450392018316LGN00,2018/11/12,RT,1, 145, 039, 145, 039,NADIR,-.001,2018/11/12,2018:316:05:11:56.6231970,2018:316:05:12:28.3931950,LGN,DAY,19.68,19.68,423,4,6.517,4.915,4.28,9,LPGS_13.1.0,38.9374917,157.57574452,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15701,15401,7851,7701,7851,7701,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20181112050049_20181112054128.01,LT8BPF20181109102328_20181109103704.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'21.74"N,79°49'43.82"E,31°21'10.69"N,79°05'14.96"E,30°58'25.75"N,81°01'16.18"E,29°37'31.26"N,78°39'03.10"E,29°14'45.02"N,80°33'01.94"E,30.30604,79.82884,31.35297,79.08749,30.97382,81.02116,29.62535,78.65086,29.24584,80.55054,LC08_L1TP_145039_20181112_20181112_01_RT,LC81450392018316LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450392018316LGN00
LC08_L1TP_145040_20181112_20181112_01_RT,LC81450402018316LGN00,2018/11/12,RT,1, 145, 040, 145, 040,NADIR,-.001,2018/11/12,2018:316:05:12:20.5100000,2018:316:05:12:52.2799980,LGN,DAY,.01,.01,274,4,7.214,5.516,4.648,9,LPGS_13.1.0,40.16937614,156.79945968,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15721,15421,7861,7711,7861,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20181112050049_20181112054128.01,LT8BPF20181109102328_20181109103704.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'10.34"N,79°27'20.56"E,29°54'57.49"N,78°43'24.13"E,29°32'21.52"N,80°37'47.57"E,28°11'14.71"N,78°17'41.53"E,27°48'36.54"N,80°10'10.88"E,28.86954,79.45571,29.91597,78.72337,29.53931,80.62988,28.18742,78.29487,27.81015,80.16969,LC08_L1TP_145040_20181112_20181112_01_RT,LC81450402018316LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018316LGN00
LC08_L1TP_147039_20181110_20181110_01_RT,LC81470392018314LGN00,2018/11/10,RT,1, 147, 039, 147, 039,NADIR,-.001,2018/11/10,2018:314:05:24:18.1433340,2018:314:05:24:49.9133330,LGN,DAY,.1,.1,211,4,7.278,5.241,5.05,9,LPGS_13.1.0,39.4715041,157.39283469,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15461,15161,7731,7581,7731,7581,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20181110051310_20181110055349.01,LT8BPF20181109102328_20181109103704.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.61"N,76°44'19.54"E,31°21'11.52"N,75°59'49.67"E,30°58'26.00"N,77°55'53.44"E,29°37'32.41"N,75°33'37.84"E,29°14'45.60"N,77°27'39.20"E,30.30628,76.73876,31.3532,75.99713,30.97389,77.93151,29.62567,75.56051,29.246,77.46089,LC08_L1TP_147039_20181110_20181110_01_RT,LC81470392018314LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470392018314LGN00
LC08_L1TP_147040_20181110_20181110_01_RT,LC81470402018314LGN00,2018/11/10,RT,1, 147, 040, 147, 040,NADIR,-.001,2018/11/10,2018:314:05:24:42.0343730,2018:314:05:25:13.8043720,LGN,DAY,57.45,57.45,276,4,8.688,6.377,5.9,9,LPGS_13.1.0,40.70106358,156.60075738,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20181110051310_20181110055349.01,LT8BPF20181109102328_20181109103704.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'10.13"N,76°21'56.20"E,29°54'57.78"N,75°37'57.43"E,29°32'20.87"N,77°32'25.37"E,28°11'15.25"N,75°12'14.98"E,27°48'36.14"N,77°04'48.72"E,28.86948,76.36561,29.91605,75.63262,29.53913,77.54038,28.18757,75.20416,27.81004,77.0802,LC08_L1TP_147040_20181110_20181110_01_RT,LC81470402018314LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470402018314LGN00
LC08_L1GT_146039_20181103_20181115_01_T2,LC81460392018307LGN00,2018/11/03,T2,1, 146, 039, 146, 039,NADIR,-.001,2018/11/15,2018:307:05:18:06.4997180,2018:307:05:18:38.2697160,LGN,DAY,99.95,99.95,-1,4,0,0,0,9,LPGS_13.1.0,41.4481126,156.52402798,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15841,15561,7921,7781,7921,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20181103050611_20181103055226.01,LT8BPF20181025064706_20181109102328.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'23.08"N,78°17'00.71"E,31°21'12.13"N,77°32'31.88"E,30°58'26.80"N,79°28'33.60"E,29°37'32.81"N,77°06'19.69"E,29°14'46.18"N,79°00'19.04"E,30.30641,78.28353,31.35337,77.54219,30.97411,79.476,29.62578,77.10547,29.24616,79.00529,LC08_L1GT_146039_20181103_20181115_01_T2,LC81460392018307LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018307LGN00
LC08_L1TP_146040_20181103_20181115_01_T1,LC81460402018307LGN00,2018/11/03,T1,1, 146, 040, 146, 040,NADIR,-.001,2018/11/15,2018:307:05:18:30.3992290,2018:307:05:19:02.1692270,LGN,DAY,73.35,73.35,89,4,9.224,6.678,6.363,9,LPGS_13.1.0,42.66556252,155.66692522,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15361,15061,7681,7531,7681,7531,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20181103050611_20181103055226.01,LT8BPF20181025064706_20181109102328.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.05"N,77°54'36.43"E,29°54'56.20"N,77°10'40.33"E,29°32'19.93"N,79°05'03.73"E,28°11'13.52"N,76°44'57.48"E,27°48'35.06"N,78°37'26.80"E,28.86918,77.91012,29.91561,77.17787,29.53887,79.08437,28.18709,76.7493,27.80974,78.62411,LC08_L1TP_146040_20181103_20181115_01_T1,LC81460402018307LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460402018307LGN00
LC08_L1TP_145039_20181027_20181115_01_T1,LC81450392018300LGN00,2018/10/27,T1,1, 145, 039, 145, 039,NADIR,-.001,2018/11/15,2018:300:05:11:54.3600310,2018:300:05:12:26.1300290,LGN,DAY,11.67,11.67,429,4,6.179,4.94,3.711,9,LPGS_13.1.0,43.54336422,155.29002571,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15421,7851,7711,7851,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20181027045911_20181027054126.01,LT8BPF20181025064706_20181109102328.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.07"N,79°49'47.82"E,31°21'10.91"N,79°05'18.96"E,30°58'25.57"N,81°01'20.75"E,29°37'31.80"N,78°39'06.80"E,29°14'45.13"N,80°33'06.23"E,30.30613,79.82995,31.35303,79.0886,30.97377,81.02243,29.6255,78.65189,29.24587,80.55173,LC08_L1TP_145039_20181027_20181115_01_T1,LC81450392018300LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450392018300LGN00
LC08_L1TP_145040_20181027_20181115_01_T1,LC81450402018300LGN00,2018/10/27,T1,1, 145, 040, 145, 040,NADIR,-.001,2018/11/15,2018:300:05:12:18.2510700,2018:300:05:12:50.0210680,LGN,DAY,.03,.03,264,4,7.174,5.452,4.664,9,LPGS_13.1.0,44.74233012,154.3525626,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15721,15421,7861,7711,7861,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20181027045911_20181027054126.01,LT8BPF20181025064706_20181109102328.01,LC08CPF_20181001_20181231_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.80"N,79°27'24.16"E,29°54'57.02"N,78°43'27.62"E,29°32'20.62"N,80°37'51.64"E,28°11'14.35"N,78°17'44.74"E,27°48'35.78"N,80°10'14.63"E,28.86939,79.45671,29.91584,78.72434,29.53906,80.63101,28.18732,78.29576,27.80994,80.17073,LC08_L1TP_145040_20181027_20181115_01_T1,LC81450402018300LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018300LGN00
